Item for row {0} does not match Material Request,عنصر الصف {0} لا يتطابق مع طلب المواد,
Item has variants.,البند لديه متغيرات.,
Item is mandatory in Raw Materials table.,الصنف إلزامي في جدول المواد الخام.,
Item is removed since no serial / batch no selected.,تمت إزالة الصنف لأنه لم يتم تحديد رقم تسلسلي / دفعة.,
Item must be added using 'Get Items from Purchase Receipts' button,"الصنف يجب اضافته مستخدما مفتاح ""احصل علي الأصناف من المشتريات المستلمة """,
Item name,اسم السلعة,
Item operation,عملية الصنف,
Item qty can not be updated as raw materials are already processed.,لا يمكن تحديث كمية الصنف حيث تمت معالجة المواد الخام بالفعل.,
Item rate has been updated to zero as Allow Zero Valuation Rate is checked for item {0},تم تحديث سعر الصنف إلى صفر حيث تم تحديد السماح بمعدل تقييم صفر للصنف {0},
Item to Manufacture,الصنف المطلوب تصنيعه,
Item to be manufactured or repacked,الصنف الذي سيتم تصنيعه أو إعادة تعبئته,
Item valuation rate is recalculated considering landed cost voucher amount,يتم إعادة حساب معدل تقييم الصنف مع الأخذ في الاعتبار مبلغ سند التكلفة المستلمة,
Item valuation reposting in progress. Report might show incorrect item valuation.,إعادة ترحيل تقييم الصنف قيد التقدم. قد يعرض التقرير تقييم صنف غير صحيح.,
Item variant {0} exists with same attributes,متغير العنصر {0} موجود بنفس السمات,
Item {0} cannot be added as a sub-assembly of itself,لا يمكن إضافة الصنف {0} كتجميع فرعي لنفسه,
Item {0} cannot be ordered more than {1} against Blanket Order {2}.,لا يمكن طلب الصنف {0} بأكثر من {1} مقابل أمر الشراء الشامل {2}.,
Item {0} does not exist,العنصر {0} غير موجود,
Item {0} does not exist in the system or has expired,الصنف{0} غير موجود في النظام أو انتهت صلاحيته,
Item {0} does not exist.,العنصر {0} غير موجود,
Item {0} entered multiple times.,تم إدخال الصنف {0} عدة مرات.,
Item {0} has already been returned,تمت إرجاع الصنف{0} من قبل,
Item {0} has been disabled,الصنف{0} تم تعطيله,
Item {0} has no Serial No. Only serialized items can have delivery based on Serial No,الصنف {0} ليس له رقم تسلسلي. يمكن أن يكون التسليم بناءً على الرقم التسلسلي للأصناف ذات الأرقام التسلسلية فقط,
Item {0} has reached its end of life on {1},الصنف{0} قد وصل إلى نهاية عمره في {1},
Item {0} ignored since it is not a stock item,تم تجاهل الصنف {0} لأنه ليس بند مخزون,
Item {0} is already reserved/delivered against Sales Order {1}.,الصنف {0} محجوز/مسلم بالفعل مقابل أمر البيع {1}.,
Item {0} is cancelled,تم إلغاء العنصر {0},
Item {0} is disabled,تم تعطيل البند {0},
Item {0} is not a serialized Item,البند {0} ليس بند لديه رقم تسلسلي,
Item {0} is not a stock Item,العنصر {0} ليس عنصر مخزون,
Item {0} is not a subcontracted item,الصنف {0} ليس صنفًا متعاقدًا عليه من الباطن,
Item {0} is not active or end of life has been reached,البند {0} غير نشط أو تم التوصل إلى نهاية الحياة,
Item {0} must be a Fixed Asset Item,البند {0} يجب أن يكون بند أصول ثابتة,
Item {0} must be a Non-Stock Item,يجب أن يكون الصنف {0} صنفًا غير مخزني,
Item {0} must be a Sub-contracted Item,البند {0} يجب أن يكون عنصر التعاقد الفرعي,
Item {0} must be a non-stock item,الصنف {0} يجب ألا يكون صنف مخزن <br>Item {0} must be a non-stock item,
Item {0} not found in 'Raw Materials Supplied' table in {1} {2},لم يتم العثور على الصنف {0} في جدول 'المواد الخام الموردة' في {1} {2},
Item {0} not found.,لم يتم العثور على الصنف {0}.,
Item {0}: Ordered qty {1} cannot be less than minimum order qty {2} (defined in Item).,البند {0} الكمية المطلوبة {1} لا يمكن أن تكون أقل من الحد الأدنى للطلب {2} (المحددة في البند).,
Item {0}: {1} qty produced. ,العنصر {0}: {1} الكمية المنتجة. ,
Item {} does not exist.,الصنف {} غير موجود.,
Item-wise Price List Rate,معدل قائمة الأسعار وفقاً للصنف,
Item-wise Purchase History,الحركة التاريخية للمشتريات وفقاً للصنف,
Item-wise Purchase Register,سجل حركة المشتريات وفقاً للصنف,
Item-wise Sales History,الحركة التاريخية للمبيعات وفقاً للصنف,
Item-wise Sales Register,سجل حركة مبيعات وفقاً للصنف,
Item: {0} does not exist in the system,الصنف: {0} غير موجود في النظام,
Items & Pricing,الأصناف والتسعير,
Items Catalogue,كتالوج الأصناف,
Items Filter,تصفية الاصناف,
Items Required,العناصر المطلوبة,
Items To Be Requested,اصناف يمكن طلبه,
Items and Pricing,السلع والتسعيرات,
Items cannot be updated as Subcontracting Inward Order(s) exist against this Subcontracted Sales Order.,لا يمكن تحديث الأصناف لوجود أوامر تعاقد من الباطن واردة مقابل أمر البيع المتعاقد عليه من الباطن.,
Items cannot be updated as Subcontracting Order is created against the Purchase Order {0}.,لا يمكن تحديث الأصناف حيث تم إنشاء أمر تعاقد من الباطن مقابل أمر الشراء {0}.,
Items for Raw Material Request,عناصر لطلب المواد الخام,
Items not found.,لم يتم العثور على أصناف.,
Items rate has been updated to zero as Allow Zero Valuation Rate is checked for the following items: {0},تم تحديث سعر الأصناف إلى صفر حيث تم تحديد السماح بمعدل تقييم صفر للأصناف التالية: {0},
Items to Be Repost,الأصناف التي سيتم إعادة ترحيلها,
Items to Manufacture are required to pull the Raw Materials associated with it.,العناصر المطلوب تصنيعها لسحب المواد الخام المرتبطة بها.,
Items to Order and Receive,الأصناف المطلوب طلبها واستلامها,
Items to Reserve,الأصناف المطلوب حجزها,
Items under this warehouse will be suggested,وسيتم اقتراح العناصر الموجودة تحت هذا المستودع,
Items {0} do not exist in the Item master.,الأصناف {0} غير موجودة في بيانات الصنف الرئيسية.,
Itemwise Discount,التخفيض وفقاً للصنف,
Itemwise Recommended Reorder Level,مستوى إعادة ترتيب يوصى به وفقاً للصنف,
JAN,JAN,
Job Capacity,سعة المهمة,
Job Card,بطاقة عمل,
Job Card Analysis,تحليل بطاقة العمل,
Job Card Item,صنف بطاقة العمل,
Job Card Operation,عملية بطاقة العمل,
Job Card Scheduled Time,الوقت المجدول لبطاقة العمل,
Job Card Scrap Item,صنف خردة بطاقة العمل,
Job Card Summary,ملخص بطاقة العمل,
Job Card Time Log,سجل وقت بطاقة العمل,
Job Card and Capacity Planning,بطاقة العمل وتخطيط السعة,
Job Card {0} has been completed,اكتملت بطاقة العمل {0},
Job Cards,بطاقات العمل,
Job Paused,المهمة متوقفة مؤقتًا,
Job Started,بدأ العمل,
Job Title,المسمى الوظيفي,
Job Worker,عامل مهمة,
Job Worker Address,عنوان عامل المهمة,
Job Worker Address Details,تفاصيل عنوان عامل المهمة,
Job Worker Contact,جهة اتصال عامل المهمة,
Job Worker Currency,عملة العامل المستقل,
Job Worker Delivery Note,إذن تسليم عامل المهمة,
Job Worker Name,اسم عامل المهمة,
Job Worker Warehouse,مستودع عامل المهمة,
Job card {0} created,تم إنشاء بطاقة العمل {0},
Job: {0} has been triggered for processing failed transactions,المهمة: تم تشغيل {0} لمعالجة المعاملات الفاشلة,
Joining,الانضمام,
Joule,جول,
Joule/Meter,جول/متر,
Journal Entries,قيود اليومية,
Journal Entries {0} are un-linked,قيود اليومية {0} غير مترابطة,
Journal Entry,قيد اليومية,
Journal Entry Account,حساب قيد اليومية,
Journal Entry Template,قالب قيد اليومية,
Journal Entry Template Account,حساب قالب قيد اليومية,
Journal Entry Type,نوع قيد اليومية,
Journal Entry for Asset scrapping cannot be cancelled. Please restore the Asset.,لا يمكن إلغاء قيد اليومية لتخريد الأصل. يرجى استعادة الأصل.,
Journal Entry for Scrap,قيد دفتر يومية للتخريد,
Journal Entry type should be set as Depreciation Entry for asset depreciation,يجب تعيين نوع قيد اليومية كقيد إهلاك لإهلاك الأصول,
Journal Entry {0} does not have account {1} or already matched against other voucher,قيد دفتر اليومية {0} ليس لديه حساب {1} أو قد تم مطابقته مسبقا مع سند أخرى,
Journal entries have been created,تم إنشاء قيود اليومية,
Journals,اليوميات,
"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment. ",تتبع حملات المبيعات. تتبع العملاء المحتملين، عروض الأسعار، أوامر البيع، إلخ من الحملات لتقييم العائد على الاستثمار. ,
Kelvin,كلفن,
Key Reports,التقارير الرئيسية,
Kg,كجم,
Kiloampere,كيلو أمبير,
Kilocalorie,كيلو كالوري,
Kilocoulomb,كيلو كولوم,
Kilogram-Force,كيلو جرام-قوة,
Kilogram/Cubic Centimeter,كيلو جرام/سنتيمتر مكعب,
Kilogram/Cubic Meter,كيلو جرام/متر مكعب,
Kilogram/Litre,كيلو جرام/لتر,
Kilohertz,كيلو هرتز,
Kilojoule,كيلو جول,
Kilometer,كيلومتر,
Kilometer/Hour,كيلومتر/ساعة,
Kilopascal,كيلو باسكال,
Kilopond,كيلو بوند,
Kilopound-Force,كيلو رطل-قوة,
Kilowatt,كيلو واط,
Kilowatt-Hour,كيلو واط-ساعة,
Kindly cancel the Manufacturing Entries first against the work order {0}.,يرجى إلغاء قيود التصنيع أولاً مقابل أمر العمل {0}.,
Kindly select the company first,يرجى اختيار الشركة أولا,
Kip,كيب,
Knot,عقدة,
LIFO,LIFO,
Landed Cost,تكلفة الهبوط,
Landed Cost Help,هبطت التكلفة مساعدة,
Landed Cost Id,معرف تكلفة الهبوط,
Landed Cost Item,هبوط تكلفة صنف,
Landed Cost Purchase Receipt,تكاليف المشتريات المستلمة,
Landed Cost Report,تقرير تكلفة الهبوط,
Landed Cost Taxes and Charges,الضرائب التكلفة هبطت والرسوم,
Landed Cost Vendor Invoice,فاتورة المورد بتكلفة الشحن,
Landed Cost Voucher,هبطت التكلفة سند,
Landed Cost Voucher Amount,التكلفة هبطت قيمة سند,
Lapsed,ساقطا,
Large,كبير,
Last Carbon Check,آخر تحقق للكربون,
Last Communication,آخر الاتصالات,
Last Communication Date,تاريخ الاتصال الأخير,
Last Completion Date,تاريخ الانتهاء الأخير,
Last GL Entry update was done {}. This operation is not allowed while system is actively being used. Please wait for 5 minutes before retrying.,تم إجراء آخر تحديث لقيد دفتر الأستاذ العام {}. هذه العملية غير مسموح بها أثناء استخدام النظام بشكل نشط. يرجى الانتظار لمدة 5 دقائق قبل إعادة المحاولة.,
Last Integration Date,تاريخ التكامل الأخير,
Last Month Downtime Analysis,تحليل وقت التوقف في الشهر الماضي,
Last Order Amount,قيمة آخر طلب,
Last Order Date,تاريخ أخر أمر بيع,
Last Purchase Rate,آخر سعر الشراء,
Last Scanned Warehouse,آخر مستودع تم مسحه ضوئيًا,
Last Stock Transaction for item {0} under warehouse {1} was on {2}.,كانت آخر معاملة مخزون للبند {0} تحت المستودع {1} في {2}.,
Last carbon check date cannot be a future date,لا يمكن أن يكون تاريخ فحص الكربون الأخير تاريخًا مستقبلاً,
Last transacted,آخر معاملة,
Latest,اخير,
Latest Age,مرحلة متأخرة,
Latitude,خط العرض,
Lead,عميل محتمل,
Lead -> Prospect,عميل محتمل -> عميل متوقع,
Lead Conversion Time,وقت تحويل العميل المحتمل,
Lead Count,عد الزبون المحتمل,
Lead Details,تفاصيل الزبون المحتمل,
Lead Name,اسم الزبون المحتمل,
Lead Owner,مالك الزبون المحتمل,
Lead Owner Efficiency,يؤدي كفاءة المالك,
Lead Owner cannot be same as the Lead Email Address,لا يمكن أن يكون مالك العميل المحتمل هو نفسه عنوان البريد الإلكتروني للعميل المحتمل,
Lead Source,مصدر الزبون المحتمل,
Lead Time,المهلة,
Lead Time (Days),ايام القيادة),
Lead Time (in mins),المهلة (بالدقائق),
Lead Time Date,تاريخ و وقت المهلة,
Lead Time Days,المدة الزمنية بين بدء وإنهاء عملية الإنتاج,
Lead Time in days,المهلة بالايام,
Lead Type,نوع الزبون المحتمل,
Lead {0} has been added to prospect {1}.,تمت إضافة العميل المحتمل {0} إلى العميل المتوقع {1}.,
Leads,العملاء المحتملون,
"Leads help you get business, add all your contacts and more as your leads",العروض تساعدك للحصول على الأعمال التجارية،وإضافة كافة جهات الاتصال الخاصة بك والمزيد من عروضك,
"Learn about <a href=""https://docs.frappe.io/erpnext/user/manual/en/common_party_accounting"" rel=""noopener noreferrer"">Common Party</a>","تعرّف على <a href=""https://docs.frappe.io/erpnext/user/manual/en/common_party_accounting"" rel=""noopener noreferrer"">الطرف المشترك</a>",
Leave Encashed?,إجازات مصروفة نقداً؟,
"Leave blank for home.
This is relative to site URL, for example ""about"" will redirect to ""https://yoursitename.com/about""","اتركه فارغًا للصفحة الرئيسية.
هذا متعلق بعنوان URL للموقع، على سبيل المثال ""about"" سيعيد التوجيه إلى ""https://yoursitename.com/about""",
Leave blank if the Supplier is blocked indefinitely,اتركه فارغًا إذا تم حظر المورد إلى أجل غير مسمى,
Leave blank to use the standard Delivery Note format,"اتركه فارغًا لاستخدام تنسيق ""إشعار التسليم"" القياسي",
Ledger Health,سلامة دفتر الأستاذ,
Ledger Health Monitor,مراقب سلامة دفتر الأستاذ,
Ledger Health Monitor Company,شركة مراقب سلامة دفتر الأستاذ,
Ledger Merge,دمج دفتر الأستاذ,
Ledger Merge Accounts,حسابات دمج دفتر الأستاذ,
Ledger Type,نوع دفتر الأستاذ,
Ledgers,دفاتر الأستاذ,
Left Child,التابع الأيسر,
Left Index,الفهرس الأيسر,
Legacy Fields,الحقول القديمة,
Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,كيان قانوني / شركة تابعة بدليل حسابات منفصل ينتمي إلى المؤسسة.,
Legal Expenses,نفقات قانونية,
Legend,وسيلة إيضاح,
Length (cm),الطول (سم),
Less Than Amount,أقل من المبلغ,
Letter or Email Body Text,نص الرسالة أو نص البريد الإلكتروني,
Letter or Email Closing Text,نص إغلاق الرسالة أو البريد الإلكتروني,
Level (BOM),المستوى (قائمة المواد),
Lft,يسار,
Liabilities,المطلوبات,
Liability,الخصوم,
License Details,تفاصيل الترخيص,
License Number,رقم الرخصة,
License Plate,لوحة الترخيص,
Limit Crossed,الحدود تجاوزت,
Limit timeslot for Stock Reposting,تحديد الفترة الزمنية لإعادة ترحيل المخزون,
Limited to 12 characters,تقتصر على 12 حرفا,
Limits don't apply on,لا تنطبق الحدود على,
Line Reference,مرجع الخط,
Line spacing for amount in words,سطر فارغ للمبلغ بالحروف,
Link Options,خيارات الارتباط,
Link a new bank account,ربط حساب بنكي جديد,
Link existing Quality Procedure.,ربط إجراءات الجودة الحالية.,
Link to Material Request,رابط لطلب المواد,
Link to Material Requests,رابط لطلبات المواد,
Link with Customer,الربط مع العميل,
Link with Supplier,الربط مع المورد,
Linked Documents,المستندات المرتبطة,
Linked Invoices,الفواتير المرتبطة,
Linked Location,الموقع المرتبط,
Linked with submitted documents,مرتبط بالمستندات المرسلة,
Linking Failed,فشل الربط,
Linking to Customer Failed. Please try again.,فشل الربط مع العميل. يرجى المحاولة مرة أخرى.,
Linking to Supplier Failed. Please try again.,فشل الربط مع المورد. يرجى المحاولة مرة أخرى.,
List items that form the package.,قائمة اصناف التي تتشكل حزمة.,
Litre,لتر,
Litre-Atmosphere,لتر-جو,
Load All Criteria,تحميل جميع المعايير,
Loading Invoices! Please Wait...,جارٍ تحميل الفواتير! يرجى الانتظار...,
Loan,قرض,
Loan End Date,تاريخ انتهاء القرض,
Loan Period (Days),مدة القرض (بالأيام),
Loan Start Date,تاريخ بدء القرض,
Loan Start Date and Loan Period are mandatory to save the Invoice Discounting,تاريخ بدء القرض وفترة القرض إلزامية لحفظ خصم الفاتورة,
Loans (Liabilities),القروض (الخصوم),
Loans and Advances (Assets),القروض والسلفيات (الأصول),
Local,محلي,
Location Details,تفاصيل الموقع,
Location Name,اسم الموقع,
Locked,مغلق,
Log Entries,إدخالات السجل,
Log the selling and buying rate of an Item,تسجيل سعر بيع وشراء الصنف,
Logo,شعار,
Longitude,خط الطول,
Lost,مفقود,
Lost Opportunity,فرصة ضائعة,
Lost Quotation,تسعيرة خسر,
Lost Quotations,عروض الأسعار المفقودة,
Lost Quotations %,عروض الأسعار المفقودة ٪,
Lost Reason,فقد السبب,
Lost Reason Detail,تفاصيل السبب المفقود,
Lost Reasons,أسباب ضائعة,
Lost Reasons are required in case opportunity is Lost.,أسباب الفقد مطلوبة في حالة فقدان الفرصة.,
Lost Value,القيمة المفقودة,
Lost Value %,القيمة المفقودة ٪,
Lower Deduction Certificate,شهادة الاستقطاع الأدنى,
Lower Income,دخل أدنى,
Loyalty Amount,مبلغ الولاء,
Loyalty Point Entry,قيد نقاط الولاء,
Loyalty Point Entry Redemption,استبدال قيد نقاط الولاء,
Loyalty Points,نقاط الولاء,
Loyalty Points Redemption,نقاط الولاء الفداء,
"Loyalty Points will be calculated from the spent done (via the Sales Invoice), based on collection factor mentioned.",سيتم حساب نقاط الولاء من المبلغ المنفق (عبر فاتورة المبيعات)، بناءً على عامل التحصيل المذكور.,
Loyalty Points: {0},نقاط الولاء: {0},
Loyalty Program,برنامج الولاء,
Loyalty Program Collection,مجموعة برامج الولاء,
Loyalty Program Help,مساعدة برنامج الولاء,
Loyalty Program Name,اسم برنامج الولاء,
Loyalty Program Tier,مستوى برنامج الولاء,
Loyalty Program Type,نوع برنامج الولاء,
MPS,MPS,
MPS Generated,تم إنشاء MPS,
MRP Log documents are being created in the background.,يتم إنشاء مستندات سجل MRP في الخلفية.,
Machine,آلة,
Machine Type,نوع الآلة,
Machine malfunction,عطل الآلة,
Machine operator errors,أخطاء مشغل الآلة,
Main,رئيسي,
Main Cost Center,مركز التكلفة الرئيسي,
Main Cost Center {0} cannot be entered in the child table,لا يمكن إدخال مركز التكلفة الرئيسي {0} في الجدول الفرعي,
Main Item Code,رمز المنتج الرئيسي,
Maintain Asset,صيانة الأصل,
Maintain Same Rate Throughout Sales Cycle,الحفاظ على نفس معدل خلال دورة المبيعات,
Maintain Same Rate Throughout the Purchase Cycle,حافظ على نفس السعر طوال دورة الشراء,
Maintain Stock,منتج يخزن,
Maintenance,الصيانة,
Maintenance Date,تاريخ الصيانة,
Maintenance Details,تفاصيل الصيانة,
Maintenance Log,سجل الصيانة,
Maintenance Manager Name,اسم مدير الصيانة,
Maintenance Required,صيانة مطلوبة,
Maintenance Role,صلاحية الصيانة,
Maintenance Schedule,جدول الصيانة,
Maintenance Schedule Detail,تفاصيل جدول الصيانة,
Maintenance Schedule Item,جدول صيانة صنف,
Maintenance Schedule is not generated for all the items. Please click on 'Generate Schedule',"لم يتم إنشاء جدول الصيانة لجميع الاصناف. يرجى النقر على ""إنشاء الجدول الزمني""",
Maintenance Schedule {0} exists against {1},جدول الصيانة {0} موجود ضد {1},
Maintenance Schedules,جداول الصيانة,
Maintenance Status,حالة الصيانة,
Maintenance Status has to be Cancelled or Completed to Submit,يجب إلغاء حالة الصيانة أو إكمالها لإرسالها,
Maintenance Task,مهمة الصيانة,
Maintenance Tasks,مهام الصيانة,
Maintenance Team,فريق الصيانة,
Maintenance Team Member,عضو فريق الصيانة,
Maintenance Team Members,أعضاء فريق الصيانة,
Maintenance Team Name,اسم فريق الصيانة,
Maintenance Time,وقت الصيانة,
Maintenance Type,نوع الصيانة,
Maintenance Visit,زيارة صيانة,
Maintenance Visit Purpose,صيانة زيارة الغرض,
Maintenance start date can not be before delivery date for Serial No {0},تاريخ بدء الصيانة لا يمكن أن يكون قبل تاريخ التسليم للرقم التسلسلي {0},
Major/Optional Subjects,المواد الرئيسية والاختيارية التي تم دراستها,
Make,سنة الصنع,
Make Asset Movement,إنشاء حركة أصل,
Make Depreciation Entry,انشئ قيد اهلاك,
Make Difference Entry,إنشاء قيد الفرق,
Make Payment via Journal Entry,قم بالدفع عن طريق قيد دفتر اليومية,
Make Purchase / Work Order,تنفيذ أمر شراء / أمر عمل,
Make Purchase Invoice,إنشاء فاتورة شراء,
Make Quotation,إنشاء عرض أسعار,
Make Return Entry,إنشاء قيد إرجاع,
Make Sales Invoice,انشاء فاتورة المبيعات,
Make Serial No / Batch from Work Order,إنشاء رقم تسلسلي / دفعة من أمر العمل,
Make Stock Entry,إنشاء قيد مخزون,
Make Subcontracting PO,إنشاء أمر شراء تعاقد من الباطن,
Make Transfer Entry,إنشاء قيد نقل,
Make project from a template.,جعل المشروع من قالب.,
Make {0} Variant,إنشاء متغير {0},
Make {0} Variants,إنشاء متغيرات {0},
Making Journal Entries against advance accounts: {0} is not recommended. These Journals won't be available for Reconciliation.,لا يُنصح بإنشاء قيود يومية مقابل حسابات الدفعات المقدمة: {0}. لن تكون هذه اليوميات متاحة للتسوية.,
Manage,إدارة,
Manage cost of operations,إدارة تكلفة العمليات,
Manage your orders,إدارة طلباتك,
Management,الإدارة,
Manager,مدير,
Managing Director,المدير العام,
Mandatory Accounting Dimension,بعد محاسبي إلزامي,
Mandatory Field,حقل إلزامي,
Mandatory For Balance Sheet,إلزامي للميزانية العمومية,
Mandatory For Profit and Loss Account,إلزامي لحساب الربح والخسارة,
Mandatory Missing,إلزامي مفقود,
Mandatory Purchase Order,أمر شراء إلزامي,
Mandatory Purchase Receipt,إيصال الشراء الإلزامي,
Mandatory Section,قسم إلزامي,
Manual,يدوي,
Manual Inspection,فحص يدوي,
Manual entry cannot be created! Disable automatic entry for deferred accounting in accounts settings and try again,لا يمكن إنشاء الإدخال اليدوي! قم بتعطيل الإدخال التلقائي للمحاسبة المؤجلة في إعدادات الحسابات وحاول مرة أخرى,
Manufacture,صناعة,
Manufacture against Material Request,تصنيع ضد طلب مواد,
Manufactured Items Value,قيمة المنتجات المصنعة,
Manufactured Qty,الكمية المصنعة,
Manufacturer,الصانع,
Manufacturer Part Number,رقم قطعة المُصَنِّع,
Manufacturer Part Number <b>{0}</b> is invalid,رقم جزء الشركة المصنعة <b>{0}</b> غير صالح,
Manufacturers used in Items,الشركات المصنعة المستخدمة في الأصناف,
Manufacturing,التصنيع,
Manufacturing BOM,قائمة مواد التصنيع,
Manufacturing Date,تاريخ التصنيع,
Manufacturing Manager,مدير التصنيع,
Manufacturing Quantity is mandatory,كمية التصنيع إلزامية,
Manufacturing Section,قسم التصنيع,
Manufacturing Settings,إعدادات التصنيع,
Manufacturing Time,وقت التصنيع,
Manufacturing Type,نوع التصنيع,
Manufacturing User,مستخدم التصنيع,
Mapping Subcontracting Inward Order ...,رسم خرائط طلبات الشراء الداخلية للتعاقد من الباطن...,
Mapping Subcontracting Order ...,جارٍ تعيين أمر التعاقد من الباطن...,
Mapping {0} ...,جارٍ تعيين {0} ...,
Margin,هامش,
Margin Money,المال الهامش,
Margin Rate or Amount,نسبة الهامش أو المبلغ,
Margin Type,نوع الهامش,
Margin View,عرض الهامش,
Marital Status,الحالة الاجتماعية,
Mark As Closed,وضع علامة كـ مغلق,
Market Segment,سوق القطاع,
Marketing,التسويق,
Marketing Expenses,نفقات تسويقية,
Marketing Specialist,أخصائي تسويق,
Married,متزوج,
Mass Mailing,البريد الجماعي,
Master Production Schedule,جدول الإنتاج الرئيسي,
Master Production Schedule Item,بند من بنود جدول الإنتاج الرئيسي,
Masters,الرئيسية,
Material,مواد,
Material Consumption,اهلاك المواد,
Material Consumption for Manufacture,اهلاك المواد للتصنيع,
Material Consumption is not set in Manufacturing Settings.,لم يتم تعيين اهلاك المواد في إعدادات التصنيع.,
Material Issue,صرف مواد,
Material Receipt,أستلام مواد,
Material Request,طلب مواد,
Material Request Date,تاريخ طلب المادة,
Material Request Detail,المواد طلب التفاصيل,
Material Request Item,صنف المواد المطلوبة,
Material Request No,طلب مواد لا,
Material Request Plan Item,المادة طلب خطة البند,
Material Request Type,نوع طلب المواد,
"Material Request not created, as quantity for Raw Materials already available.",لم يتم إنشاء طلب المواد، ككمية للمواد الخام المتاحة بالفعل.,
Material Request of maximum {0} can be made for Item {1} against Sales Order {2},المادة يمكن طلب الحد الأقصى {0} للبند {1} من أمر المبيعات {2},
Material Request used to make this Stock Entry,طلب المواد المستخدمة لانشاء الحركة المخزنية,
Material Request {0} is cancelled or stopped,طلب المواد {0} تم إلغاؤه أو إيقافه,
Material Request {0} submitted.,تم تقديم طلب المواد {0}.,
Material Requested,المواد المطلوبة,
Material Requests,طلبات المواد,
Material Requests Required,طلبات المواد المطلوبة,
Material Requests for which Supplier Quotations are not created,طلبات المواد التي لم ينشأ لها عروض أسعار من الموردين,
Material Requirements Planning,تخطيط متطلبات المواد,
Material Requirements Planning Report,تقرير تخطيط متطلبات المواد,
Material Returned from WIP,المواد المرتجعة من الإنتاج تحت التشغيل,
Material Transfer,نقل المواد,
Material Transfer (In Transit),نقل المواد (قيد العبور),
Material Transfer for Manufacture,نقل المواد لتصنيع,
Material Transferred,نقل المواد,
Material Transferred for Manufacture,المواد المنقولة لغرض صناعة,
Material Transferred for Manufacturing,المواد المنقولة لغرض التصنيع,
Material Transferred for Subcontract,المواد المنقولة للعقود من الباطن,
Material from Customer,مواد من العميل,
Material to Supplier,مواد للمورد,
Materials are already received against the {0} {1},تم استلام المواد بالفعل مقابل {0} {1},
Materials needs to be transferred to the work in progress warehouse for the job card {0},يجب نقل المواد إلى مستودع العمل قيد التقدم لبطاقة العمل {0},
Max Amount,أقصى مبلغ,
Max Amt,ماكس امت,
Max Discount (%),الحد الأقصى للخصم (٪),
Max Grade,ماكس الصف,
Max Producible Qty,أقصى كمية قابلة للإنتاج,
Max Qty,أعلى الكمية,
Max Qty (As Per Stock UOM),الحد الأقصى للكمية (حسب وحدة قياس المخزون),
Max Sample Quantity,الحد الأقصى لعدد العينات,
Max Score,أقصى درجة,
Max discount allowed for item: {0} is {1}%,الحد الأقصى للخصم المسموح به للصنف: {0} هو {1}٪,
Max: {0},الحد الأقصى: {0},
Maximum Invoice Amount,الحد الأقصى لمبلغ الفاتورة,
Maximum Net Rate,الحد الأقصى للسعر الصافي,
Maximum Payment Amount,الحد الأقصى لمبلغ الدفع,
Maximum Samples - {0} can be retained for Batch {1} and Item {2}.,الحد الأقصى للعينات - {0} يمكن الاحتفاظ بالدفعة {1} والبند {2}.,
Maximum Samples - {0} have already been retained for Batch {1} and Item {2} in Batch {3}.,الحد الأقصى للعينات - {0} تم الاحتفاظ به مسبقا للدفعة {1} و العنصر {2} في الدفعة {3}.,
Maximum Use,الاستخدام الأقصى,
Maximum Value,القيمة القصوى,
Maximum discount for Item {0} is {1}%,الحد الأقصى للخصم للصنف {0} هو {1}٪,
Maximum quantity scanned for item {0}.,تم مسح الحد الأقصى للكمية للصنف {0}.,
Maximum sample quantity that can be retained,الحد الأقصى لعدد العينات التي يمكن الاحتفاظ بها,
Megacoulomb,ميجا كولوم,
Megagram/Litre,ميجا جرام/لتر,
Megahertz,ميجا هرتز,
Megajoule,ميجا جول,
Megawatt,ميجا واط,
Mention Valuation Rate in the Item master.,اذكر معدل التقييم في مدير السلعة.,
Mention if non-standard Receivable account,اذكر إذا كان حساب القبض غير قياسي,
Mention if non-standard payable account,أذكر إذا كان الحساب غير القياسي مستحق الدفع,
Mention if non-standard receivable account applicable,أذكر إذا كان حساب المدينين المطبق ليس حساب المدينين الافتراضي,
Merge,دمج,
Merge Account,دمج الحساب,
Merge Invoices Based On,دمج الفواتير بناءً على,
Merge Progress,تقدم الدمج,
Merge Similar Account Heads,دمج رؤوس الحسابات المتشابهة,
Merge taxes from multiple documents,دمج الضرائب من مستندات متعددة,
Merge with Existing Account,دمج مع حساب موجود,
Merged,مدمج,
"Merging is only possible if following properties are same in both records. Is Group, Root Type, Company and Account Currency",الدمج ممكن فقط إذا كانت الخصائص التالية متماثلة في كلا السجلين. هل هو مجموعة، نوع الجذر، الشركة وعملة الحساب,
Merging {0} of {1},دمج {0} من {1},
Message for Supplier,رسالة لمزود,
Message to show,رسالة للإظهار,
Message will be sent to the users to get their status on the Project,سيتم إرسال رسالة إلى المستخدمين للحصول على حالتهم في المشروع,
Messages greater than 160 characters will be split into multiple messages,سيتم تقسيم الرسائل التي تزيد عن 160 حرفا إلى رسائل متعددة,
Messaging CRM Campagin,حملة CRM للمراسلة,
Meter,متر,
